食品安全事件	﻿加拿大召回受李斯特菌污染的烟熏三文鱼
食品安全事件	广东食药监管局抽检熟肉制品 9批样品被检出不及格
政策贸易	乌总统下令成立国家渔业工业联合企业
政策贸易	美国将于7月1日开始评估家禽病原体的检查标准
法律法规	台湾地区发布《化妆品中含不纯物重金属镉的残留限量规定》与《化妆品中钡的管理规定》草案
观点和评论	对小餐饮“收编”关键要确保“正规监管”
观点和评论	环保组织公开致函后，1号店下架入驻商家所售蓝鳍金枪鱼制品
预警和召回	日本召回混入干燥剂的绿紫苏鹿尾菜
食品安全事件	天津查获旅客携带入境的韩国口蹄疫区生牛肉
政策贸易	日本要增种高档农作物 争取农业收入10年翻倍
食品安全事件	浙江一口岸检出一批违规使用添加剂的进口葡萄酒
食品安全事件	广东惠州水产品抽检 孔雀石绿再现
预警和召回	德国召回标签不合格的糖果
食品安全事件	重庆20批次食品不合格 永辉超市3批次农产品上黑榜
观点和评论	美国调查显示增加洗手频率可有效降低食源性疾病发病率
法律法规	韩国拟修订《进口食品安全管制专项法令执行规则》
观点和评论	光明日报：中国奶业：靠质量重拾信心
政策贸易	我国进口葡萄酒量增价降
食品安全事件	台湾地区检出大陆出口仙草干中甲氰菊酯残留量超标
检验检疫措施	新加坡解除从加拿大安大略省进口禽和禽产品的限制
检验检疫措施	美国修改对我国出口食品企业的自动扣留措施
政策贸易	福建食品农产品出口重开印尼市场
检验检疫措施	香港禁止从尼日尔进口禽肉及禽类产品
动物检验检疫	巴勒斯坦发生2起O型口蹄疫疫情
观点和评论	韩长赋：农业部已启动《农产品质量安全法》修订准备工作
预警和召回	丹麦召回存在被老鼠污染风险的的28款面包和蛋糕产品
观点和评论	2017年初中国葡萄酒进口量下降
政策贸易	阿根廷天气干旱日益令人担忧 玉米产量可能受损
预警和召回	奥地利召回多款混入金属碎片的新鲜蛋糕
法律法规	印度发布了污染物、毒素和残留物法规修订案
法律法规	韩国发布《食品等的标示标准》部分修改征集意见稿
政策贸易	越南大量新鲜荔枝出口中国云南
检验检疫措施	由哈萨克斯坦认证合格的中亚农产品或将在中国享受免检待遇
食品安全事件	新疆食药监局关于公布2015年第四期食品专项监督抽检信息的公告(2015年第35号)
观点和评论	陈宗懋院士谈“茶叶农残”：残留≠超标
食品安全事件	青岛洋年货检出有害生物 澳洲龙虾法国燕麦全销毁
预警和召回	美国召回受李斯特菌污染的两种品牌烟熏三文鱼
食品安全事件	江苏省食品药品监督管理局关于公布2015年执行国家食药总局食品安全监督抽检信息的公告
预警和召回	澳大利亚召回未标识致敏原蛋的干酪粉
预警和召回	澳门召回多批次包装缺陷的烤豆
食品安全事件	2017年12月美国FDA自动扣留我国食品情况（12月12日更新）
食品安全事件	天津公布两期食品抽检信息 14批次产品上不合格名单
政策贸易	乌芬两国关于对避免双重征税和逃税漏税协议进行修改的议定书已正式生效
法律法规	欧盟修订亚硝酸盐用于肉制品条例
观点和评论	两会掀起“农业热”代表、委员聚焦农业4大热点
预警和召回	日本召回4款贴错标签的盐渍野菜
食品安全事件	过期或变质袋装卤制品退货后又流向餐桌
观点和评论	期待肯德基维权发挥样本作用
政策贸易	中埃智允许进口巴西肉品（巴西肉类最新进展）
政策贸易	韩国大米“无机砷”含量出了新标准 婴幼儿辅食同样适用
预警和召回	日本召回未标识保质期的布丁糕点
政策贸易	美国上诉WTO 称加拿大酒类贸易规定损害公平竞争
检验检疫措施	美国对我国1家出口企业相关产品实施自动扣留
法律法规	欧盟食品安全局就修订咯菌腈的最大残留限量发布意见
食品安全事件	广州：坚果零食抽检 3批次标签不达标
法律法规	巴西拟制定青葱中戊唑醇最大残留限量
政策贸易	中国积极与海外签署标准互认协议
政策贸易	中俄总理共同签署了关于俄罗斯葵花籽输华植物检疫要求等议定书
预警和召回	韩国召回糖精钠超标的米酒
观点和评论	别被“伪健康”食品给忽悠了！
政策贸易	菲律宾或将扩大食糖进口
观点和评论	巴勒斯坦研究：喝气泡水可能会导致肥胖
法律法规	泰国发布禁止用于食品的动植物清单
法律法规	加拿大修订乳化剂、凝胶剂、稳定剂和增稠剂列表
法律法规	食药监总局发布关于做好食品安全快检便民服务的通知
政策贸易	澳新建乳品中心 当地奶农大力支持
食品安全事件	多家酒企因“甜蜜素”遭质检总局曝光 专家称企业采标错误
法律法规	澳新拟批准一种转基因枯草芽孢杆菌产蛋白酶作为加工助剂
法律法规	美国制定蔬菜等农产品中苯醚甲环唑和溴虫腈的最大残留限量
检验检疫措施	伊拉克禁止进口冷冻鱼类以促进国内生产
预警和召回	印度发布关于食品包装和标签的解读
法律法规	美国加州拨款来减少温室气体排放
食品安全事件	台湾地区越南小磨坊黑胡椒农药超标 25吨遭退运
食品安全事件	危害食药安全、制售假冒等案在沪集中公诉 总案值超亿元 2
预警和召回	韩国召回金属异物超标的减肥膳食补充剂
食品安全事件	食药总局：15批次保健食品不合格 山东东阿多企业上黑榜
观点和评论	雪糕二次冷冻产生可溶性毒蛋白？
食品安全事件	新西兰发布贝类毒素污染海域风险警告
法律法规	阿联酋要求公司设立合同必须使用阿拉伯语
预警和召回	美国召回单增李斯特菌污染的沙拉配料
观点和评论	实现“舌尖上的安全” 还需快准狠
预警和召回	日本召回加热灭菌不到位的番茄酱鸡肉
法律法规	欧盟发布POPs法规修订案 多类有害物质被列入管控范围
食品安全事件	韩国发布巧克力和糖果专项检查结果
政策贸易	美国将越南冷冻虾反倾销税率降低至0.91%
食品安全事件	西班牙通报我国出口冷冻金枪鱼与花生不合格
法律法规	新西兰扩大西怀卡托海域贝毒预警范围
动物检验检疫	农业部发布2017年国家动物疫病强制免疫计划
预警和召回	比利时召回未标识致敏原蛋的冷藏素食蔬菜丸等3款产品
观点和评论	张茅：规范企业抽查，不能前脚敲门后脚“又来了”
法律法规	美国修订嘧霉胺的残留限量要求
